regulator	target_candidate	ortholog_module_status	ME	PE
BSU17850	BSU06030	1	0	0
BSU17850	BSU06040	0	0	0
BSU17850	BSU06048	0	0	0
BSU17850	BSU06060	0	1	0
BSU17850	BSU06070	0	0	0
BSU17850	BSU06090	0	0	0
BSU17850	BSU06100	0	0	0
BSU17850	BSU06110	0	0	0
BSU17850	BSU06120	0	0	0
BSU17850	BSU06130	0	0	0
BSU17850	BSU06140	0	0	0
BSU17850	BSU06150	1	0	0
BSU17850	BSU06160	0	0	0
BSU17850	BSU06170	0	0	0
BSU17850	BSU06180	0	0	0
BSU17850	BSU06190	0	0	0
BSU17850	BSU06200	0	0	0
BSU17850	BSU06210	0	0	0
BSU17850	BSU06220	0	0	0
BSU17850	BSU06230	0	0	0
BSU17850	BSU06240	0	0	0
BSU17850	BSU06250	0	0	0
BSU17850	BSU06260	0	0	0
BSU17850	BSU06269	0	0	0
BSU17850	BSU06270	0	0	0
BSU17850	BSU06280	0	0	0
BSU17850	BSU06290	1	0	0
BSU17850	BSU06300	0	0	0
BSU17850	BSU06310	0	0	0
BSU17850	BSU06319	0	0	0
BSU17850	BSU06320	1	0	0
BSU17850	BSU06330	1	0	0
BSU17850	BSU06340	1	0	0
BSU17850	BSU06350	1	0	0
BSU17850	BSU06360	1	0	0
BSU17850	BSU06370	1	0	0
BSU17850	BSU06380	0	0	0
BSU17850	BSU06390	0	0	0
BSU17850	BSU06400	1	0	0
BSU17850	BSU06410	0	0	0
BSU17850	BSU06420	1	0	0
BSU17850	BSU06430	1	0	0
BSU17850	BSU06440	1	0	0
BSU17850	BSU06450	1	0	0
BSU17850	BSU06460	1	0	0
BSU17850	BSU06470	1	0	0
BSU17850	BSU06480	1	0	0
BSU17850	BSU06490	1	0	0
BSU17850	BSU06500	1	0	0
BSU17850	BSU06510	1	0	0
BSU17850	BSU06520	1	0	0
BSU17850	BSU06530	1	0	0
BSU17850	BSU06540	0	0	0
BSU17850	BSU06550	0	0	0
BSU17850	BSU06559	0	0	0
BSU17850	BSU06560	0	0	0
BSU17850	BSU06570	0	0	0
BSU17850	BSU06580	1	0	0
BSU17850	BSU06590	0	0	0
BSU17850	BSU06600	1	0	0
BSU17850	BSU06610	1	1	1
BSU17850	BSU06620	1	0	1
BSU17850	BSU06630	1	0	1
BSU17850	BSU06640	0	0	0
BSU17850	BSU06650	1	0	0
BSU17850	BSU06660	0	0	0
BSU17850	BSU06670	1	0	0
BSU17850	BSU06680	1	0	0
BSU17850	BSU06690	1	0	0
BSU17850	BSU06700	1	1	0
BSU17850	BSU06710	0	1	0
BSU17850	BSU06720	1	0	0
BSU17850	BSU06730	1	0	0
BSU17850	BSU06740	0	0	0
BSU17850	BSU06750	0	0	0
BSU17850	BSU06760	0	0	0
BSU17850	BSU06770	0	0	0
BSU17850	BSU06780	0	0	0
BSU17850	BSU06790	0	0	0
BSU17850	BSU06800	0	0	0
BSU17850	BSU06811	0	0	0
BSU17850	BSU06812	0	0	0
BSU17850	BSU06820	0	0	0
BSU17850	BSU06830	0	0	0
BSU17850	BSU06839	0	0	0
BSU17850	BSU06840	1	0	0
BSU17850	BSU06850	0	0	0
BSU17850	BSU06860	0	0	0
BSU17850	BSU06870	0	0	0
BSU17850	BSU06880	0	0	0
BSU17850	BSU06890	0	0	0
BSU17850	BSU06900	0	0	0
BSU17850	BSU06910	0	0	0
BSU17850	BSU06920	1	0	0
BSU17850	BSU06930	0	0	0
BSU17850	BSU06940	0	0	0
BSU17850	BSU06950	1	0	0
BSU17850	BSU06960	1	0	0
BSU17850	BSU06970	1	0	0
BSU17850	BSU06980	0	0	0
BSU17850	BSU06990	1	0	0
BSU17850	BSU07000	0	0	0
BSU17850	BSU07010	0	0	0
BSU17850	BSU07020	0	0	0
BSU17850	BSU07030	0	0	0
BSU17850	BSU07040	0	0	0
BSU17850	BSU07050	0	0	0
BSU17850	BSU07060	0	0	0
BSU17850	BSU07070	0	0	0
BSU17850	BSU07080	0	0	0
BSU17850	BSU07090	0	0	0
BSU17850	BSU07100	1	0	0
BSU17850	BSU07110	1	0	0
BSU17850	BSU07120	1	0	0
BSU17850	BSU07130	0	0	0
BSU17850	BSU07140	0	0	0
BSU17850	BSU07150	0	0	0
BSU17850	BSU07160	1	0	0
BSU17850	BSU07190	0	0	0
BSU17850	BSU07200	1	0	0
BSU17850	BSU07210	0	0	0
BSU17850	BSU07220	1	0	0
BSU17850	BSU07230	0	0	0
BSU17850	BSU07240	0	0	0
BSU17850	BSU07250	0	0	0
BSU17850	BSU07260	1	0	0
BSU17850	BSU07270	0	0	0
BSU17850	BSU07280	0	0	0
BSU17850	BSU07290	0	0	0
BSU17850	BSU07300	0	0	0
BSU17850	BSU07310	0	0	0
BSU17850	BSU07320	0	0	0
BSU17850	BSU07330	1	0	0
BSU17850	BSU07340	1	0	0
BSU17850	BSU07350	0	0	0
BSU17850	BSU07360	0	0	0
BSU17850	BSU07370	1	0	0
BSU17850	BSU07380	0	0	0
BSU17850	BSU07390	0	0	0
BSU17850	BSU07400	1	0	0
BSU17850	BSU07410	0	0	0
BSU17850	BSU07420	0	0	0
BSU17850	BSU07430	1	0	0
BSU17850	BSU07440	0	0	0
BSU17850	BSU07450	0	0	0
BSU17850	BSU07460	0	0	0
BSU17850	BSU07480	0	0	0
BSU17850	BSU07490	0	0	0
BSU17850	BSU07500	0	0	0
BSU17850	BSU07510	0	0	0
BSU17850	BSU07520	1	0	0
BSU17850	BSU07530	0	0	0
BSU17850	BSU07540	0	0	0
BSU17850	BSU07550	0	0	0
BSU17850	BSU07560	0	0	0
BSU17850	BSU07570	0	0	0
BSU17850	BSU07580	0	0	0
BSU17850	BSU07590	0	0	0
BSU17850	BSU07600	0	0	0
BSU17850	BSU07610	0	0	0
